median_household_income,NAME,state,county,tract,tract_fips
-666666666,Census Tract 1; New York County; New York,36,061,000100,000100
45582,Census Tract 2.01; New York County; New York,36,061,000201,000201
34710,Census Tract 2.02; New York County; New York,36,061,000202,000202
-666666666,Census Tract 5; New York County; New York,36,061,000500,000500
25655,Census Tract 6; New York County; New York,36,061,000600,000600
184730,Census Tract 7; New York County; New York,36,061,000700,000700
28607,Census Tract 8; New York County; New York,36,061,000800,000800
222167,Census Tract 9; New York County; New York,36,061,000900,000900
109352,Census Tract 10.01; New York County; New York,36,061,001001,001001
23658,Census Tract 10.02; New York County; New York,36,061,001002,001002
91154,Census Tract 12; New York County; New York,36,061,001200,001200
199576,Census Tract 13; New York County; New York,36,061,001300,001300
89873,Census Tract 14.01; New York County; New York,36,061,001401,001401
46615,Census Tract 14.02; New York County; New York,36,061,001402,001402
119293,Census Tract 15.01; New York County; New York,36,061,001501,001501
160466,Census Tract 15.02; New York County; New York,36,061,001502,001502
46860,Census Tract 16; New York County; New York,36,061,001600,001600
74485,Census Tract 18; New York County; New York,36,061,001800,001800
26031,Census Tract 20; New York County; New York,36,061,002000,002000
250001,Census Tract 21; New York County; New York,36,061,002100,002100
35700,Census Tract 22.01; New York County; New York,36,061,002201,002201
121389,Census Tract 22.02; New York County; New York,36,061,002202,002202
17922,Census Tract 24; New York County; New York,36,061,002400,002400
21949,Census Tract 25; New York County; New York,36,061,002500,002500
35625,Census Tract 26.01; New York County; New York,36,061,002601,002601
71907,Census Tract 26.02; New York County; New York,36,061,002602,002602
134583,Census Tract 27; New York County; New York,36,061,002700,002700
52305,Census Tract 28; New York County; New York,36,061,002800,002800
11406,Census Tract 29.01; New York County; New York,36,061,002901,002901
-666666666,Census Tract 29.02; New York County; New York,36,061,002902,002902
90222,Census Tract 30.01; New York County; New York,36,061,003001,003001
68382,Census Tract 30.02; New York County; New York,36,061,003002,003002
190769,Census Tract 31; New York County; New York,36,061,003100,003100
88070,Census Tract 32; New York County; New York,36,061,003200,003200
250001,Census Tract 33; New York County; New York,36,061,003300,003300
109148,Census Tract 34; New York County; New York,36,061,003400,003400
55714,Census Tract 36.01; New York County; New York,36,061,003601,003601
144464,Census Tract 36.02; New York County; New York,36,061,003602,003602
246250,Census Tract 37; New York County; New York,36,061,003700,003700
68647,Census Tract 38; New York County; New York,36,061,003800,003800
190588,Census Tract 39; New York County; New York,36,061,003900,003900
122383,Census Tract 40.01; New York County; New York,36,061,004001,004001
153838,Census Tract 40.02; New York County; New York,36,061,004002,004002
100096,Census Tract 41; New York County; New York,36,061,004100,004100
163750,Census Tract 42; New York County; New York,36,061,004200,004200
97133,Census Tract 43; New York County; New York,36,061,004300,004300
142975,Census Tract 44; New York County; New York,36,061,004400,004400
158393,Census Tract 45; New York County; New York,36,061,004500,004500
148750,Census Tract 47; New York County; New York,36,061,004700,004700
173239,Census Tract 48; New York County; New York,36,061,004800,004800
141731,Census Tract 49; New York County; New York,36,061,004900,004900
194750,Census Tract 50; New York County; New York,36,061,005000,005000
193958,Census Tract 52; New York County; New York,36,061,005200,005200
152018,Census Tract 54; New York County; New York,36,061,005400,005400
190408,Census Tract 55.01; New York County; New York,36,061,005501,005501
138854,Census Tract 55.02; New York County; New York,36,061,005502,005502
186028,Census Tract 56; New York County; New York,36,061,005600,005600
236250,Census Tract 57; New York County; New York,36,061,005700,005700
186191,Census Tract 58; New York County; New York,36,061,005800,005800
166250,Census Tract 59; New York County; New York,36,061,005900,005900
202632,Census Tract 60; New York County; New York,36,061,006000,006000
250001,Census Tract 61; New York County; New York,36,061,006100,006100
96912,Census Tract 62; New York County; New York,36,061,006200,006200
172687,Census Tract 63; New York County; New York,36,061,006300,006300
118201,Census Tract 64; New York County; New York,36,061,006400,006400
118698,Census Tract 65; New York County; New York,36,061,006500,006500
126995,Census Tract 66; New York County; New York,36,061,006600,006600
120964,Census Tract 67; New York County; New York,36,061,006700,006700
146051,Census Tract 68; New York County; New York,36,061,006800,006800
231136,Census Tract 69; New York County; New York,36,061,006900,006900
153902,Census Tract 70.01; New York County; New York,36,061,007001,007001
143183,Census Tract 70.02; New York County; New York,36,061,007002,007002
173615,Census Tract 71; New York County; New York,36,061,007100,007100
139577,Census Tract 72; New York County; New York,36,061,007200,007200
146964,Census Tract 73; New York County; New York,36,061,007300,007300
192897,Census Tract 74; New York County; New York,36,061,007400,007400
119250,Census Tract 75; New York County; New York,36,061,007500,007500
127308,Census Tract 76; New York County; New York,36,061,007600,007600
161094,Census Tract 77; New York County; New York,36,061,007700,007700
149915,Census Tract 78; New York County; New York,36,061,007800,007800
127188,Census Tract 79; New York County; New York,36,061,007900,007900
163454,Census Tract 80; New York County; New York,36,061,008000,008000
156265,Census Tract 81; New York County; New York,36,061,008100,008100
222273,Census Tract 82; New York County; New York,36,061,008200,008200
70986,Census Tract 83; New York County; New York,36,061,008300,008300
250001,Census Tract 84; New York County; New York,36,061,008400,008400
161548,Census Tract 86.01; New York County; New York,36,061,008601,008601
-666666666,Census Tract 86.02; New York County; New York,36,061,008602,008602
215981,Census Tract 86.03; New York County; New York,36,061,008603,008603
136620,Census Tract 87; New York County; New York,36,061,008700,008700
117442,Census Tract 88; New York County; New York,36,061,008800,008800
95355,Census Tract 89; New York County; New York,36,061,008900,008900
149063,Census Tract 90; New York County; New York,36,061,009000,009000
188867,Census Tract 91; New York County; New York,36,061,009100,009100
166734,Census Tract 92; New York County; New York,36,061,009200,009200
94441,Census Tract 93; New York County; New York,36,061,009300,009300
171875,Census Tract 94; New York County; New York,36,061,009400,009400
176944,Census Tract 95; New York County; New York,36,061,009500,009500
-666666666,Census Tract 96; New York County; New York,36,061,009600,009600
67218,Census Tract 97; New York County; New York,36,061,009700,009700
124433,Census Tract 98; New York County; New York,36,061,009800,009800
250001,Census Tract 99.01; New York County; New York,36,061,009901,009901
148706,Census Tract 99.02; New York County; New York,36,061,009902,009902
175333,Census Tract 99.03; New York County; New York,36,061,009903,009903
103417,Census Tract 100; New York County; New York,36,061,010000,010000
97242,Census Tract 101; New York County; New York,36,061,010100,010100
91157,Census Tract 102; New York County; New York,36,061,010200,010200
103838,Census Tract 103; New York County; New York,36,061,010300,010300
181333,Census Tract 104; New York County; New York,36,061,010400,010400
224898,Census Tract 106.01; New York County; New York,36,061,010601,010601
190685,Census Tract 106.02; New York County; New York,36,061,010602,010602
169293,Census Tract 108.01; New York County; New York,36,061,010801,010801
131171,Census Tract 108.02; New York County; New York,36,061,010802,010802
160111,Census Tract 108.03; New York County; New York,36,061,010803,010803
146042,Census Tract 109; New York County; New York,36,061,010900,010900
163371,Census Tract 110; New York County; New York,36,061,011000,011000
102297,Census Tract 111; New York County; New York,36,061,011100,011100
198750,Census Tract 112.01; New York County; New York,36,061,011201,011201
198000,Census Tract 112.02; New York County; New York,36,061,011202,011202
204375,Census Tract 112.03; New York County; New York,36,061,011203,011203
82500,Census Tract 113; New York County; New York,36,061,011300,011300
250001,Census Tract 114.01; New York County; New York,36,061,011401,011401
176667,Census Tract 114.02; New York County; New York,36,061,011402,011402
145521,Census Tract 115; New York County; New York,36,061,011500,011500
90938,Census Tract 116; New York County; New York,36,061,011600,011600
109740,Census Tract 117; New York County; New York,36,061,011700,011700
159134,Census Tract 118; New York County; New York,36,061,011800,011800
15971,Census Tract 119; New York County; New York,36,061,011900,011900
153086,Census Tract 120; New York County; New York,36,061,012000,012000
56935,Census Tract 121.01; New York County; New York,36,061,012101,012101
54735,Census Tract 121.02; New York County; New York,36,061,012102,012102
231016,Census Tract 122; New York County; New York,36,061,012200,012200
140250,Census Tract 124; New York County; New York,36,061,012400,012400
137772,Census Tract 125; New York County; New York,36,061,012500,012500
104460,Census Tract 126.01; New York County; New York,36,061,012601,012601
194650,Census Tract 126.02; New York County; New York,36,061,012602,012602
145488,Census Tract 127; New York County; New York,36,061,012700,012700
205685,Census Tract 128; New York County; New York,36,061,012800,012800
117622,Census Tract 129.01; New York County; New York,36,061,012901,012901
100991,Census Tract 129.02; New York County; New York,36,061,012902,012902
191016,Census Tract 130; New York County; New York,36,061,013000,013000
107018,Census Tract 131; New York County; New York,36,061,013100,013100
157969,Census Tract 132.01; New York County; New York,36,061,013201,013201
80132,Census Tract 132.02; New York County; New York,36,061,013202,013202
114304,Census Tract 132.03; New York County; New York,36,061,013203,013203
111223,Census Tract 133; New York County; New York,36,061,013300,013300
140883,Census Tract 134; New York County; New York,36,061,013400,013400
115574,Census Tract 135.01; New York County; New York,36,061,013501,013501
67279,Census Tract 135.02; New York County; New York,36,061,013502,013502
243496,Census Tract 136.01; New York County; New York,36,061,013601,013601
161100,Census Tract 136.02; New York County; New York,36,061,013602,013602
120194,Census Tract 136.03; New York County; New York,36,061,013603,013603
159876,Census Tract 136.04; New York County; New York,36,061,013604,013604
