DBN,School Name,Year,ds,k5_enroll,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5
02M001,P.S. 001 Alfred E. Smith,2013-14,2013-09-01,443,70,73,77,76,68,79
02M001,P.S. 001 Alfred E. Smith,2014-15,2014-09-01,408,69,64,61,67,79,68
02M001,P.S. 001 Alfred E. Smith,2015-16,2015-09-01,372,48,58,60,61,70,75
02M001,P.S. 001 Alfred E. Smith,2016-17,2016-09-01,322,50,48,55,53,53,63
02M002,P.S. 002 Meyer London,2013-14,2013-09-01,787,118,150,124,130,125,140
02M002,P.S. 002 Meyer London,2014-15,2014-09-01,727,96,116,149,120,127,119
02M002,P.S. 002 Meyer London,2015-16,2015-09-01,651,86,84,107,139,117,118
02M002,P.S. 002 Meyer London,2016-17,2016-09-01,567,77,76,81,98,129,106
02M003,P.S. 003 Charrette School,2013-14,2013-09-01,760,126,130,163,108,120,113
02M003,P.S. 003 Charrette School,2014-15,2014-09-01,758,112,142,122,159,111,112
02M003,P.S. 003 Charrette School,2015-16,2015-09-01,736,129,108,126,118,156,99
02M003,P.S. 003 Charrette School,2016-17,2016-09-01,728,132,118,103,117,111,147
02M006,P.S. 006 Lillie D. Blake,2013-14,2013-09-01,751,122,136,130,134,108,121
02M006,P.S. 006 Lillie D. Blake,2014-15,2014-09-01,726,117,126,136,126,126,95
02M006,P.S. 006 Lillie D. Blake,2015-16,2015-09-01,700,105,113,120,124,124,114
02M006,P.S. 006 Lillie D. Blake,2016-17,2016-09-01,643,100,99,104,112,119,109
02M011,P.S. 011 William T. Harris,2013-14,2013-09-01,802,158,158,139,134,102,111
02M011,P.S. 011 William T. Harris,2014-15,2014-09-01,854,127,167,181,144,132,103
02M011,P.S. 011 William T. Harris,2015-16,2015-09-01,903,146,133,161,186,148,129
02M011,P.S. 011 William T. Harris,2016-17,2016-09-01,913,146,154,131,156,181,145
02M033,P.S. 033 Chelsea Prep,2013-14,2013-09-01,540,100,95,106,100,68,71
02M033,P.S. 033 Chelsea Prep,2014-15,2014-09-01,598,102,113,92,113,109,69
02M033,P.S. 033 Chelsea Prep,2015-16,2015-09-01,609,90,107,111,94,103,104
02M033,P.S. 033 Chelsea Prep,2016-17,2016-09-01,588,87,93,113,102,93,100
02M040,P.S. 040 Augustus Saint-Gaudens,2013-14,2013-09-01,594,123,104,96,107,90,74
02M040,P.S. 040 Augustus Saint-Gaudens,2014-15,2014-09-01,606,116,114,97,96,96,87
02M040,P.S. 040 Augustus Saint-Gaudens,2015-16,2015-09-01,595,99,100,108,97,95,96
02M040,P.S. 040 Augustus Saint-Gaudens,2016-17,2016-09-01,615,126,103,94,103,96,93
02M041,P.S. 041 Greenwich Village,2013-14,2013-09-01,761,126,125,123,122,147,118
02M041,P.S. 041 Greenwich Village,2014-15,2014-09-01,722,100,134,122,116,116,134
