DBN,2017-18,2018-19,2019-20,2020-21,2021-22,School Name,pre_covid,post_covid,pct_change_covid,abs_change_covid,pre_trend_pct
02M001,294,266,229,211,192,P.S. 001 Alfred E. Smith,229,192,-0.1615720524017467,-37,-0.22108843537414966
02M002,530,463,421,397,343,P.S. 002 Meyer London,421,343,-0.18527315914489312,-78,-0.20566037735849058
02M003,699,677,647,552,516,P.S. 003 Charrette School,647,516,-0.20247295208655333,-131,-0.07439198855507868
02M006,616,588,578,526,491,P.S. 006 Lillie D. Blake,578,491,-0.15051903114186851,-87,-0.06168831168831169
02M011,905,870,882,788,713,P.S. 011 William T. Harris,882,713,-0.19160997732426305,-169,-0.02541436464088398
02M033,614,599,579,524,480,P.S. 033 Chelsea Prep,579,480,-0.17098445595854922,-99,-0.057003257328990226
02M040,637,673,682,616,578,P.S. 040 Augustus Saint-Gaudens,682,578,-0.15249266862170088,-104,0.0706436420722135
02M041,658,641,615,485,427,P.S. 041 Greenwich Village,615,427,-0.3056910569105691,-188,-0.06534954407294832
02M042,611,540,514,498,475,P.S. 042 Benjamin Altman,514,475,-0.07587548638132295,-39,-0.15875613747954173
02M051,385,410,416,407,374,P.S. 051 Elias Howe,416,374,-0.10096153846153846,-42,0.08051948051948052
02M059,594,578,619,569,524,P.S. 059 Beekman Hill International,619,524,-0.15347334410339256,-95,0.04208754208754209
02M077,358,360,362,351,346,P.S. 77 Lower Lab School,362,346,-0.04419889502762431,-16,0.0111731843575419
02M089,397,421,418,313,312,P.S. 89,418,312,-0.2535885167464115,-106,0.05289672544080604
02M111,349,365,388,367,296,P.S. 111 Adolph S. Ochs,388,296,-0.23711340206185566,-92,0.11174785100286533
02M116,492,450,446,367,333,P.S. 116 Mary Lindley Murray,446,333,-0.2533632286995516,-113,-0.09349593495934959
02M124,668,616,611,589,532,P.S. 124 Yung Wing,611,532,-0.12929623567921442,-79,-0.08532934131736528
02M130,877,823,760,714,616,P.S. 130 Hernando De Soto,760,616,-0.18947368421052632,-144,-0.13340935005701254
02M150,169,171,172,163,138,P.S. 150,172,138,-0.19767441860465115,-34,0.01775147928994083
02M151,475,428,409,383,329,Yorkville Community School,409,329,-0.19559902200489,-80,-0.13894736842105262
02M158,721,724,735,606,585,P.S. 158 Bayard Taylor,735,585,-0.20408163265306123,-150,0.019417475728155338
02M183,548,514,564,506,478,P.S. 183 Robert L. Stevenson,564,478,-0.1524822695035461,-86,0.029197080291970802
02M198,410,432,439,419,369,P.S. 198 Isador E. Ida Straus,439,369,-0.15945330296127563,-70,0.07073170731707316
02M212,330,327,334,293,257,P.S. 212 Midtown West,334,257,-0.23053892215568864,-77,0.012121212121212121
02M217,505,498,509,500,543,P.S./I.S. 217 Roosevelt Island,509,543,0.06679764243614932,34,0.007920792079207921
02M225,221,220,230,231,213,Ella Baker School,230,213,-0.07391304347826087,-17,0.04072398190045249
02M234,642,638,638,466,454,P.S. 234 Independence School,638,454,-0.2884012539184953,-184,-0.006230529595015576
02M267,398,414,438,397,387,"East Side Elementary School, PS 267",438,387,-0.11643835616438356,-51,0.10050251256281408
02M281,236,302,350,388,388,The River School,350,388,0.10857142857142857,38,0.4830508474576271
02M290,591,558,519,409,353,P.S. 290 Manhattan New School,519,353,-0.3198458574181118,-166,-0.1218274111675127
02M340,206,267,328,300,270,Sixth Avenue Elementary School,328,270,-0.17682926829268292,-58,0.5922330097087378
02M343,406,432,423,369,329,The Peck Slip School,423,329,-0.2222222222222222,-94,0.04187192118226601
02M527,387,431,480,458,436,P.S. 527 - East Side School for Social Action,480,436,-0.09166666666666666,-44,0.24031007751937986
