DBN,School Name,year_start,scenario,yhat,yhat_lower,yhat_upper
02M001,P.S. 001 Alfred E. Smith,2013,actual,443.0,443.0,443.0
02M001,P.S. 001 Alfred E. Smith,2014,actual,408.0,408.0,408.0
02M001,P.S. 001 Alfred E. Smith,2015,actual,372.0,372.0,372.0
02M001,P.S. 001 Alfred E. Smith,2016,actual,322.0,322.0,322.0
02M001,P.S. 001 Alfred E. Smith,2017,actual,294.0,294.0,294.0
02M001,P.S. 001 Alfred E. Smith,2018,actual,266.0,266.0,266.0
02M001,P.S. 001 Alfred E. Smith,2019,actual,229.0,229.0,229.0
02M001,P.S. 001 Alfred E. Smith,2020,actual,211.0,211.0,211.0
02M001,P.S. 001 Alfred E. Smith,2021,actual,192.0,192.0,192.0
02M001,P.S. 001 Alfred E. Smith,2022,actual,159.0,159.0,159.0
02M001,P.S. 001 Alfred E. Smith,2023,actual,168.0,168.0,168.0
02M001,P.S. 001 Alfred E. Smith,2024,actual,160.0,160.0,160.0
02M001,P.S. 001 Alfred E. Smith,2025,pessimistic,147.4,124.41766739618929,170.3823326038107
02M001,P.S. 001 Alfred E. Smith,2026,pessimistic,134.8,106.65250601086714,162.94749398913288
02M001,P.S. 001 Alfred E. Smith,2027,pessimistic,122.20000000000002,89.69807353672154,154.70192646327848
02M001,P.S. 001 Alfred E. Smith,2025,base,160.0,137.0176673961893,182.9823326038107
02M001,P.S. 001 Alfred E. Smith,2026,base,160.0,131.85250601086713,188.14749398913287
02M001,P.S. 001 Alfred E. Smith,2027,base,160.0,127.49807353672152,192.5019264632785
02M001,P.S. 001 Alfred E. Smith,2025,optimistic,217.80952380952382,194.82719120571312,240.79185641333453
02M001,P.S. 001 Alfred E. Smith,2026,optimistic,275.61904761904765,247.47155362991478,303.76654160818055
02M001,P.S. 001 Alfred E. Smith,2027,optimistic,333.42857142857144,300.92664496529295,365.93049789184994
02M002,P.S. 002 Meyer London,2013,actual,787.0,787.0,787.0
02M002,P.S. 002 Meyer London,2014,actual,727.0,727.0,727.0
02M002,P.S. 002 Meyer London,2015,actual,651.0,651.0,651.0
02M002,P.S. 002 Meyer London,2016,actual,567.0,567.0,567.0
02M002,P.S. 002 Meyer London,2017,actual,530.0,530.0,530.0
02M002,P.S. 002 Meyer London,2018,actual,463.0,463.0,463.0
02M002,P.S. 002 Meyer London,2019,actual,421.0,421.0,421.0
02M002,P.S. 002 Meyer London,2020,actual,397.0,397.0,397.0
02M002,P.S. 002 Meyer London,2021,actual,343.0,343.0,343.0
02M002,P.S. 002 Meyer London,2022,actual,319.0,319.0,319.0
02M002,P.S. 002 Meyer London,2023,actual,255.0,255.0,255.0
02M002,P.S. 002 Meyer London,2024,actual,317.0,317.0,317.0
02M002,P.S. 002 Meyer London,2025,pessimistic,292.2,223.18316313793298,361.216836862067
02M002,P.S. 002 Meyer London,2026,pessimistic,267.40000000000003,182.8719830135135,351.92801698648657
02M002,P.S. 002 Meyer London,2027,pessimistic,242.60000000000002,144.99545327757352,340.2045467224265
02M002,P.S. 002 Meyer London,2025,base,317.0,247.983163137933,386.016836862067
02M002,P.S. 002 Meyer London,2026,base,317.0,232.47198301351347,401.52801698648653
02M002,P.S. 002 Meyer London,2027,base,317.0,219.3954532775735,414.6045467224265
02M002,P.S. 002 Meyer London,2025,optimistic,408.76190476190476,339.74506789983775,477.77874162397177
02M002,P.S. 002 Meyer London,2026,optimistic,500.5238095238095,415.995792537323,585.051826510296
02M002,P.S. 002 Meyer London,2027,optimistic,592.2857142857143,494.68116756328783,689.8902610081409
02M003,P.S. 003 Charrette School,2013,actual,760.0,760.0,760.0
02M003,P.S. 003 Charrette School,2014,actual,758.0,758.0,758.0
02M003,P.S. 003 Charrette School,2015,actual,736.0,736.0,736.0
02M003,P.S. 003 Charrette School,2016,actual,728.0,728.0,728.0
02M003,P.S. 003 Charrette School,2017,actual,699.0,699.0,699.0
02M003,P.S. 003 Charrette School,2018,actual,677.0,677.0,677.0
02M003,P.S. 003 Charrette School,2019,actual,647.0,647.0,647.0
02M003,P.S. 003 Charrette School,2020,actual,552.0,552.0,552.0
02M003,P.S. 003 Charrette School,2021,actual,516.0,516.0,516.0
02M003,P.S. 003 Charrette School,2022,actual,480.0,480.0,480.0
02M003,P.S. 003 Charrette School,2023,actual,482.0,482.0,482.0
02M003,P.S. 003 Charrette School,2024,actual,483.0,483.0,483.0
02M003,P.S. 003 Charrette School,2025,pessimistic,465.8,433.02967982682156,498.57032017317846
02M003,P.S. 003 Charrette School,2026,pessimistic,448.6,408.4647184340394,488.73528156596063
02M003,P.S. 003 Charrette School,2027,pessimistic,431.4000000000001,385.0557687677825,477.74423123221766
02M003,P.S. 003 Charrette School,2025,base,483.0,450.22967982682155,515.7703201731784
02M003,P.S. 003 Charrette School,2026,base,483.0,442.8647184340394,523.1352815659607
02M003,P.S. 003 Charrette School,2027,base,483.0,436.65576876778243,529.3442312322176
02M003,P.S. 003 Charrette School,2025,optimistic,560.3333333333334,527.5630131601549,593.1036535065118
02M003,P.S. 003 Charrette School,2026,optimistic,637.6666666666666,597.531385100706,677.8019482326273
02M003,P.S. 003 Charrette School,2027,optimistic,715.0,668.6557687677824,761.3442312322176
02M006,P.S. 006 Lillie D. Blake,2013,actual,751.0,751.0,751.0
02M006,P.S. 006 Lillie D. Blake,2014,actual,726.0,726.0,726.0
02M006,P.S. 006 Lillie D. Blake,2015,actual,700.0,700.0,700.0
02M006,P.S. 006 Lillie D. Blake,2016,actual,643.0,643.0,643.0
02M006,P.S. 006 Lillie D. Blake,2017,actual,616.0,616.0,616.0
02M006,P.S. 006 Lillie D. Blake,2018,actual,588.0,588.0,588.0
02M006,P.S. 006 Lillie D. Blake,2019,actual,578.0,578.0,578.0
02M006,P.S. 006 Lillie D. Blake,2020,actual,526.0,526.0,526.0
02M006,P.S. 006 Lillie D. Blake,2021,actual,491.0,491.0,491.0
02M006,P.S. 006 Lillie D. Blake,2022,actual,487.0,487.0,487.0
02M006,P.S. 006 Lillie D. Blake,2023,actual,500.0,500.0,500.0
02M006,P.S. 006 Lillie D. Blake,2024,actual,539.0,539.0,539.0
02M006,P.S. 006 Lillie D. Blake,2025,pessimistic,542.5,496.23734933885044,588.7626506611496
02M006,P.S. 006 Lillie D. Blake,2026,pessimistic,546.0,489.3400558657763,602.6599441342237
02M006,P.S. 006 Lillie D. Blake,2027,pessimistic,549.5000000000001,484.0747320036737,614.9252679963265
02M006,P.S. 006 Lillie D. Blake,2025,base,539.0,492.73734933885044,585.2626506611496
02M006,P.S. 006 Lillie D. Blake,2026,base,539.0,482.3400558657763,595.6599441342237
02M006,P.S. 006 Lillie D. Blake,2027,base,539.0,473.5747320036736,604.4252679963264
02M006,P.S. 006 Lillie D. Blake,2025,optimistic,578.4761904761905,532.2135398150409,624.73884113734
02M006,P.S. 006 Lillie D. Blake,2026,optimistic,617.952380952381,561.2924368181573,674.6123250866046
02M006,P.S. 006 Lillie D. Blake,2027,optimistic,657.4285714285714,592.003303432245,722.8538394248978
02M011,P.S. 011 William T. Harris,2013,actual,802.0,802.0,802.0
02M011,P.S. 011 William T. Harris,2014,actual,854.0,854.0,854.0
02M011,P.S. 011 William T. Harris,2015,actual,903.0,903.0,903.0
02M011,P.S. 011 William T. Harris,2016,actual,913.0,913.0,913.0
02M011,P.S. 011 William T. Harris,2017,actual,905.0,905.0,905.0
02M011,P.S. 011 William T. Harris,2018,actual,870.0,870.0,870.0
02M011,P.S. 011 William T. Harris,2019,actual,882.0,882.0,882.0
02M011,P.S. 011 William T. Harris,2020,actual,788.0,788.0,788.0
02M011,P.S. 011 William T. Harris,2021,actual,713.0,713.0,713.0
02M011,P.S. 011 William T. Harris,2022,actual,668.0,668.0,668.0
02M011,P.S. 011 William T. Harris,2023,actual,719.0,719.0,719.0
02M011,P.S. 011 William T. Harris,2024,actual,643.0,643.0,643.0
02M011,P.S. 011 William T. Harris,2025,pessimistic,614.6,546.0703356617948,683.1296643382052
02M011,P.S. 011 William T. Harris,2026,pessimistic,586.2,502.2686450635963,670.1313549364038
02M011,P.S. 011 William T. Harris,2027,pessimistic,557.8000000000001,460.88441926803455,654.7155807319656
02M011,P.S. 011 William T. Harris,2025,base,643.0,574.4703356617949,711.5296643382051
02M011,P.S. 011 William T. Harris,2026,base,643.0,559.0686450635963,726.9313549364037
02M011,P.S. 011 William T. Harris,2027,base,643.0,546.0844192680345,739.9155807319655
02M011,P.S. 011 William T. Harris,2025,optimistic,720.5238095238095,651.9941451856043,789.0534738620147
02M011,P.S. 011 William T. Harris,2026,optimistic,798.047619047619,714.1162641112153,881.9789739840228
02M011,P.S. 011 William T. Harris,2027,optimistic,875.5714285714286,778.655847839463,972.4870093033941
02M033,P.S. 033 Chelsea Prep,2013,actual,540.0,540.0,540.0
02M033,P.S. 033 Chelsea Prep,2014,actual,598.0,598.0,598.0
02M033,P.S. 033 Chelsea Prep,2015,actual,609.0,609.0,609.0
02M033,P.S. 033 Chelsea Prep,2016,actual,588.0,588.0,588.0
02M033,P.S. 033 Chelsea Prep,2017,actual,614.0,614.0,614.0
02M033,P.S. 033 Chelsea Prep,2018,actual,599.0,599.0,599.0
02M033,P.S. 033 Chelsea Prep,2019,actual,579.0,579.0,579.0
02M033,P.S. 033 Chelsea Prep,2020,actual,524.0,524.0,524.0
02M033,P.S. 033 Chelsea Prep,2021,actual,480.0,480.0,480.0
02M033,P.S. 033 Chelsea Prep,2022,actual,515.0,515.0,515.0
02M033,P.S. 033 Chelsea Prep,2023,actual,587.0,587.0,587.0
02M033,P.S. 033 Chelsea Prep,2024,actual,576.0,576.0,576.0
02M033,P.S. 033 Chelsea Prep,2025,pessimistic,597.1,535.46904953085,658.73095046915
02M033,P.S. 033 Chelsea Prep,2026,pessimistic,618.2,542.7178094939196,693.6821905060805
02M033,P.S. 033 Chelsea Prep,2027,pessimistic,639.3000000000001,552.1406739845837,726.4593260154164
02M033,P.S. 033 Chelsea Prep,2025,base,576.0,514.36904953085,637.63095046915
02M033,P.S. 033 Chelsea Prep,2026,base,576.0,500.5178094939196,651.4821905060804
02M033,P.S. 033 Chelsea Prep,2027,base,576.0,488.8406739845837,663.1593260154164
02M033,P.S. 033 Chelsea Prep,2025,optimistic,580.5238095238095,518.8928590546595,642.1547599929595
02M033,P.S. 033 Chelsea Prep,2026,optimistic,585.047619047619,509.5654285415386,660.5298095536995
02M033,P.S. 033 Chelsea Prep,2027,optimistic,589.5714285714286,502.41210255601226,676.7307545868449
02M040,P.S. 040 Augustus Saint-Gaudens,2013,actual,594.0,594.0,594.0
02M040,P.S. 040 Augustus Saint-Gaudens,2014,actual,606.0,606.0,606.0
02M040,P.S. 040 Augustus Saint-Gaudens,2015,actual,595.0,595.0,595.0
02M040,P.S. 040 Augustus Saint-Gaudens,2016,actual,615.0,615.0,615.0
02M040,P.S. 040 Augustus Saint-Gaudens,2017,actual,637.0,637.0,637.0
02M040,P.S. 040 Augustus Saint-Gaudens,2018,actual,673.0,673.0,673.0
02M040,P.S. 040 Augustus Saint-Gaudens,2019,actual,682.0,682.0,682.0
02M040,P.S. 040 Augustus Saint-Gaudens,2020,actual,616.0,616.0,616.0
02M040,P.S. 040 Augustus Saint-Gaudens,2021,actual,578.0,578.0,578.0
02M040,P.S. 040 Augustus Saint-Gaudens,2022,actual,559.0,559.0,559.0
02M040,P.S. 040 Augustus Saint-Gaudens,2023,actual,519.0,519.0,519.0
02M040,P.S. 040 Augustus Saint-Gaudens,2024,actual,521.0,521.0,521.0
02M040,P.S. 040 Augustus Saint-Gaudens,2025,pessimistic,496.1,473.8265502222283,518.3734497777717
02M040,P.S. 040 Augustus Saint-Gaudens,2026,pessimistic,471.2000000000001,443.920706616476,498.4792933835242
02M040,P.S. 040 Augustus Saint-Gaudens,2027,pessimistic,446.3000000000001,414.80058524343934,477.7994147565609
02M040,P.S. 040 Augustus Saint-Gaudens,2025,base,521.0,498.7265502222283,543.2734497777717
02M040,P.S. 040 Augustus Saint-Gaudens,2026,base,521.0,493.7207066164759,548.2792933835241
02M040,P.S. 040 Augustus Saint-Gaudens,2027,base,521.0,489.5005852434392,552.4994147565608
02M040,P.S. 040 Augustus Saint-Gaudens,2025,optimistic,556.952380952381,534.6789311746093,579.2258307301527
02M040,P.S. 040 Augustus Saint-Gaudens,2026,optimistic,592.9047619047619,565.6254685212378,620.184055288286
02M040,P.S. 040 Augustus Saint-Gaudens,2027,optimistic,628.8571428571429,597.3577281005821,660.3565576137037
02M041,P.S. 041 Greenwich Village,2013,actual,761.0,761.0,761.0
02M041,P.S. 041 Greenwich Village,2014,actual,722.0,722.0,722.0
02M041,P.S. 041 Greenwich Village,2015,actual,685.0,685.0,685.0
02M041,P.S. 041 Greenwich Village,2016,actual,663.0,663.0,663.0
02M041,P.S. 041 Greenwich Village,2017,actual,658.0,658.0,658.0
02M041,P.S. 041 Greenwich Village,2018,actual,641.0,641.0,641.0
02M041,P.S. 041 Greenwich Village,2019,actual,615.0,615.0,615.0
02M041,P.S. 041 Greenwich Village,2020,actual,485.0,485.0,485.0
02M041,P.S. 041 Greenwich Village,2021,actual,427.0,427.0,427.0
02M041,P.S. 041 Greenwich Village,2022,actual,416.0,416.0,416.0
02M041,P.S. 041 Greenwich Village,2023,actual,407.0,407.0,407.0
02M041,P.S. 041 Greenwich Village,2024,actual,409.0,409.0,409.0
02M041,P.S. 041 Greenwich Village,2025,pessimistic,391.8,355.03636780674924,428.5636321932508
02M041,P.S. 041 Greenwich Village,2026,pessimistic,374.6000000000001,329.57393001758953,419.6260699824106
02M041,P.S. 041 Greenwich Village,2027,pessimistic,357.4000000000001,305.40837275020874,409.39162724979144
02M041,P.S. 041 Greenwich Village,2025,base,409.0,372.2363678067493,445.7636321932507
02M041,P.S. 041 Greenwich Village,2026,base,409.0,363.97393001758945,454.02606998241055
02M041,P.S. 041 Greenwich Village,2027,base,409.0,357.00837275020865,460.99162724979135
02M041,P.S. 041 Greenwich Village,2025,optimistic,498.61904761904765,461.8554154257969,535.3826798122984
02M041,P.S. 041 Greenwich Village,2026,optimistic,588.2380952380953,543.2120252556847,633.2641652205059
02M041,P.S. 041 Greenwich Village,2027,optimistic,677.8571428571429,625.8655156073515,729.8487701069342
02M042,P.S. 042 Benjamin Altman,2013,actual,756.0,756.0,756.0
02M042,P.S. 042 Benjamin Altman,2014,actual,740.0,740.0,740.0
02M042,P.S. 042 Benjamin Altman,2015,actual,691.0,691.0,691.0
02M042,P.S. 042 Benjamin Altman,2016,actual,616.0,616.0,616.0
02M042,P.S. 042 Benjamin Altman,2017,actual,611.0,611.0,611.0
02M042,P.S. 042 Benjamin Altman,2018,actual,540.0,540.0,540.0
02M042,P.S. 042 Benjamin Altman,2019,actual,514.0,514.0,514.0
02M042,P.S. 042 Benjamin Altman,2020,actual,498.0,498.0,498.0
02M042,P.S. 042 Benjamin Altman,2021,actual,475.0,475.0,475.0
02M042,P.S. 042 Benjamin Altman,2022,actual,436.0,436.0,436.0
02M042,P.S. 042 Benjamin Altman,2023,actual,416.0,416.0,416.0
02M042,P.S. 042 Benjamin Altman,2024,actual,424.0,424.0,424.0
02M042,P.S. 042 Benjamin Altman,2025,pessimistic,403.3,376.1766844512062,430.4233155487938
02M042,P.S. 042 Benjamin Altman,2026,pessimistic,382.6,349.3808583864791,415.81914161352097
02M042,P.S. 042 Benjamin Altman,2027,pessimistic,361.90000000000003,323.5418392943708,400.2581607056293
02M042,P.S. 042 Benjamin Altman,2025,base,424.0,396.8766844512062,451.1233155487938
02M042,P.S. 042 Benjamin Altman,2026,base,424.0,390.78085838647905,457.21914161352095
02M042,P.S. 042 Benjamin Altman,2027,base,424.0,385.64183929437075,462.35816070562925
02M042,P.S. 042 Benjamin Altman,2025,optimistic,495.42857142857144,468.30525587977763,522.5518869773653
02M042,P.S. 042 Benjamin Altman,2026,optimistic,566.8571428571429,533.6380012436219,600.0762844706638
02M042,P.S. 042 Benjamin Altman,2027,optimistic,638.2857142857143,599.9275535800851,676.6438749913435
02M051,P.S. 051 Elias Howe,2013,actual,286.0,286.0,286.0
02M051,P.S. 051 Elias Howe,2014,actual,314.0,314.0,314.0
02M051,P.S. 051 Elias Howe,2015,actual,322.0,322.0,322.0
02M051,P.S. 051 Elias Howe,2016,actual,340.0,340.0,340.0
02M051,P.S. 051 Elias Howe,2017,actual,385.0,385.0,385.0
02M051,P.S. 051 Elias Howe,2018,actual,410.0,410.0,410.0
02M051,P.S. 051 Elias Howe,2019,actual,416.0,416.0,416.0
02M051,P.S. 051 Elias Howe,2020,actual,407.0,407.0,407.0
02M051,P.S. 051 Elias Howe,2021,actual,374.0,374.0,374.0
02M051,P.S. 051 Elias Howe,2022,actual,351.0,351.0,351.0
02M051,P.S. 051 Elias Howe,2023,actual,400.0,400.0,400.0
02M051,P.S. 051 Elias Howe,2024,actual,393.0,393.0,393.0
02M051,P.S. 051 Elias Howe,2025,pessimistic,392.8,345.42764096162506,440.17235903837496
02M051,P.S. 051 Elias Howe,2026,pessimistic,392.6,334.5809462220293,450.61905377797075
02M051,P.S. 051 Elias Howe,2027,pessimistic,392.4000000000001,325.4053673663226,459.3946326336776
02M051,P.S. 051 Elias Howe,2025,base,393.0,345.62764096162505,440.37235903837495
02M051,P.S. 051 Elias Howe,2026,base,393.0,334.9809462220293,451.0190537779707
02M051,P.S. 051 Elias Howe,2027,base,393.0,326.0053673663225,459.9946326336775
02M051,P.S. 051 Elias Howe,2025,optimistic,379.76190476190476,332.3895457235298,427.1342638002797
02M051,P.S. 051 Elias Howe,2026,optimistic,366.5238095238095,308.5047557458388,424.54286330178024
02M051,P.S. 051 Elias Howe,2027,optimistic,353.2857142857143,286.2910816520367,420.28034691939183
02M059,P.S. 059 Beekman Hill International,2013,actual,598.0,598.0,598.0
02M059,P.S. 059 Beekman Hill International,2014,actual,596.0,596.0,596.0
02M059,P.S. 059 Beekman Hill International,2015,actual,573.0,573.0,573.0
02M059,P.S. 059 Beekman Hill International,2016,actual,576.0,576.0,576.0
02M059,P.S. 059 Beekman Hill International,2017,actual,594.0,594.0,594.0
02M059,P.S. 059 Beekman Hill International,2018,actual,578.0,578.0,578.0
02M059,P.S. 059 Beekman Hill International,2019,actual,619.0,619.0,619.0
02M059,P.S. 059 Beekman Hill International,2020,actual,569.0,569.0,569.0
02M059,P.S. 059 Beekman Hill International,2021,actual,524.0,524.0,524.0
02M059,P.S. 059 Beekman Hill International,2022,actual,504.0,504.0,504.0
02M059,P.S. 059 Beekman Hill International,2023,actual,497.0,497.0,497.0
02M059,P.S. 059 Beekman Hill International,2024,actual,499.0,499.0,499.0
02M059,P.S. 059 Beekman Hill International,2025,pessimistic,482.3,451.8954310592307,512.7045689407694
02M059,P.S. 059 Beekman Hill International,2026,pessimistic,465.6,428.3621601229208,502.83783987707926
02M059,P.S. 059 Beekman Hill International,2027,pessimistic,448.90000000000003,405.9014462458563,491.8985537541438
02M059,P.S. 059 Beekman Hill International,2025,base,499.0,468.5954310592307,529.4045689407693
02M059,P.S. 059 Beekman Hill International,2026,base,499.0,461.76216012292076,536.2378398770792
02M059,P.S. 059 Beekman Hill International,2027,base,499.0,456.00144624585624,541.9985537541437
02M059,P.S. 059 Beekman Hill International,2025,optimistic,529.5238095238095,499.1192405830402,559.9283784645788
02M059,P.S. 059 Beekman Hill International,2026,optimistic,560.047619047619,522.8097791705399,597.2854589246982
02M059,P.S. 059 Beekman Hill International,2027,optimistic,590.5714285714286,547.5728748172849,633.5699823255723
02M077,P.S. 77 Lower Lab School,2013,actual,348.0,348.0,348.0
02M077,P.S. 77 Lower Lab School,2014,actual,350.0,350.0,350.0
02M077,P.S. 77 Lower Lab School,2015,actual,345.0,345.0,345.0
02M077,P.S. 77 Lower Lab School,2016,actual,359.0,359.0,359.0
02M077,P.S. 77 Lower Lab School,2017,actual,358.0,358.0,358.0
02M077,P.S. 77 Lower Lab School,2018,actual,360.0,360.0,360.0
02M077,P.S. 77 Lower Lab School,2019,actual,362.0,362.0,362.0
02M077,P.S. 77 Lower Lab School,2020,actual,351.0,351.0,351.0
02M077,P.S. 77 Lower Lab School,2021,actual,346.0,346.0,346.0
02M077,P.S. 77 Lower Lab School,2022,actual,373.0,373.0,373.0
02M077,P.S. 77 Lower Lab School,2023,actual,368.0,368.0,368.0
