DBN,School Name,year_start,scenario,yhat,yhat_lower,yhat_upper
02M001,P.S. 001 Alfred E. Smith,2013,prophet_train,437.70685437,426.74106649734534,448.031337897023
02M001,P.S. 001 Alfred E. Smith,2014,prophet_train,403.4513589497412,393.2522566228185,414.6356102659128
02M001,P.S. 001 Alfred E. Smith,2015,prophet_train,369.1958635294823,359.35730070557764,379.7585686471595
02M001,P.S. 001 Alfred E. Smith,2016,prophet_train,334.84651743683924,324.8001792165692,345.1437302600597
02M001,P.S. 001 Alfred E. Smith,2017,prophet_train,300.5910220165804,289.8372520231691,311.25999095303564
02M001,P.S. 001 Alfred E. Smith,2018,prophet_train,266.33552659632153,256.1964371162072,277.3703158240009
02M001,P.S. 001 Alfred E. Smith,2019,prophet_train,232.08003117606273,222.79643581910295,243.31350912776176
02M001,P.S. 001 Alfred E. Smith,2020,prophet_train,197.7306850834196,186.49050552559046,208.1032515918873
02M001,P.S. 001 Alfred E. Smith,2021,prophet_train,186.84655639087353,176.79699051225143,197.85744766502128
02M001,P.S. 001 Alfred E. Smith,2022,prophet_train,175.9624276983275,164.8813122130089,187.08911677033726
02M001,P.S. 001 Alfred E. Smith,2023,prophet_train,165.07829900578145,154.3986639525607,175.2891032906975
02M001,P.S. 001 Alfred E. Smith,2024,prophet_train,154.1643507825709,143.329077667972,163.69551919982624
02M001,P.S. 001 Alfred E. Smith,2025,prophet_forecast,143.28022209002486,132.53411279250795,154.64668698465118
02M001,P.S. 001 Alfred E. Smith,2026,prophet_forecast,132.3960933974788,120.29290373990358,146.39434260260367
02M001,P.S. 001 Alfred E. Smith,2027,prophet_forecast,121.51196470493277,106.63809399895143,136.06296279824429
02M002,P.S. 002 Meyer London,2013,prophet_train,770.4657832099999,740.5263778735565,799.2944898644454
02M002,P.S. 002 Meyer London,2014,prophet_train,712.331399418462,682.0668074776409,740.9592538250396
02M002,P.S. 002 Meyer London,2015,prophet_train,654.1970156269238,626.8460374774323,682.7409569793949
02M002,P.S. 002 Meyer London,2016,prophet_train,595.9033595510253,567.139812893211,624.8643048159646
02M002,P.S. 002 Meyer London,2017,prophet_train,537.7689757594874,507.37518133234306,567.750398754433
02M002,P.S. 002 Meyer London,2018,prophet_train,479.63459196794923,450.6908299256762,509.43615343751367
02M002,P.S. 002 Meyer London,2019,prophet_train,421.50020817641115,391.71140315606374,449.35068364400263
02M002,P.S. 002 Meyer London,2020,prophet_train,363.20655210051257,335.15633275627005,390.3772212089065
02M002,P.S. 002 Meyer London,2021,prophet_train,342.1267743075684,314.0610570935521,370.7184089832912
02M002,P.S. 002 Meyer London,2022,prophet_train,321.04699651462414,291.07245565188435,351.89916411795423
02M002,P.S. 002 Meyer London,2023,prophet_train,299.96721872167984,271.41380231534475,328.2404760485443
02M002,P.S. 002 Meyer London,2024,prophet_train,278.8296881128645,249.00564098640217,307.0521252128189
02M002,P.S. 002 Meyer London,2025,prophet_forecast,257.7499103199203,228.79177613420802,287.6117237797829
02M002,P.S. 002 Meyer London,2026,prophet_forecast,236.670132526976,201.98795798546712,269.9844325108818
02M002,P.S. 002 Meyer London,2027,prophet_forecast,215.5903547340317,177.55836065450507,255.2782194132257
02M003,P.S. 003 Charrette School,2013,prophet_train,796.7405279999999,758.7547886718867,831.8949066910201
02M003,P.S. 003 Charrette School,2014,prophet_train,765.8065176127426,730.068445452836,800.6861744578592
02M003,P.S. 003 Charrette School,2015,prophet_train,734.8725072254853,698.6583391929445,770.1546482317838
02M003,P.S. 003 Charrette School,2016,prophet_train,703.8537461248382,669.7923239511717,738.2625366958359
02M003,P.S. 003 Charrette School,2017,prophet_train,672.9197357375808,638.9386299019111,708.9123799961285
02M003,P.S. 003 Charrette School,2018,prophet_train,641.9857253503235,606.0308900104977,678.3423337378277
02M003,P.S. 003 Charrette School,2019,prophet_train,611.0517149630662,576.6627411961331,645.0748049781474
02M003,P.S. 003 Charrette School,2020,prophet_train,580.0329538624189,543.3080833084294,616.7970013973222
02M003,P.S. 003 Charrette School,2021,prophet_train,549.0989439437778,513.0166162729702,584.6985083173125
02M003,P.S. 003 Charrette School,2022,prophet_train,518.1649340251365,482.41139827423285,551.0473946652177
02M003,P.S. 003 Charrette School,2023,prophet_train,487.2309241064953,451.7731646866899,522.3896711458408
02M003,P.S. 003 Charrette School,2024,prophet_train,456.2121634757483,422.28143461922036,493.72669435847865
02M003,P.S. 003 Charrette School,2025,prophet_forecast,425.27815355710715,390.28166051268056,461.509658616414
02M003,P.S. 003 Charrette School,2026,prophet_forecast,394.3441436384659,357.7271397384946,429.79410232325876
02M003,P.S. 003 Charrette School,2027,prophet_forecast,363.4101337198247,325.24926232250766,396.0899033921547
02M006,P.S. 006 Lillie D. Blake,2013,prophet_train,757.1744967,735.8583937366992,777.0071457907659
02M006,P.S. 006 Lillie D. Blake,2014,prophet_train,722.8651956295794,701.9925397428301,744.1222037538525
02M006,P.S. 006 Lillie D. Blake,2015,prophet_train,688.5558945591588,668.3596811096486,712.6861769438784
02M006,P.S. 006 Lillie D. Blake,2016,prophet_train,654.1525954036138,634.2237033614224,675.1602131367035
02M006,P.S. 006 Lillie D. Blake,2017,prophet_train,619.8432943331932,597.3670967064971,639.7779210017035
02M006,P.S. 006 Lillie D. Blake,2018,prophet_train,585.5339932627725,563.9137455891116,606.2565863230587
02M006,P.S. 006 Lillie D. Blake,2019,prophet_train,551.2246921923519,530.4976474789106,573.6655967713947
02M006,P.S. 006 Lillie D. Blake,2020,prophet_train,516.8213930368069,496.0027056808354,539.0216879782434
02M006,P.S. 006 Lillie D. Blake,2021,prophet_train,514.9755211831233,492.8542219524004,538.6228216715436
02M006,P.S. 006 Lillie D. Blake,2022,prophet_train,513.1296493294399,490.5249640638658,535.3260630348321
02M006,P.S. 006 Lillie D. Blake,2023,prophet_train,511.2837774757565,488.2839458235149,532.5040844373756
02M006,P.S. 006 Lillie D. Blake,2024,prophet_train,509.4328484389123,487.006957227978,531.222659058069
02M006,P.S. 006 Lillie D. Blake,2025,prophet_forecast,507.5869765852289,484.9933927158633,529.9415938211234
02M006,P.S. 006 Lillie D. Blake,2026,prophet_forecast,505.7411047315454,478.5968853019477,529.1537136386614
02M006,P.S. 006 Lillie D. Blake,2027,prophet_forecast,503.89523287786204,473.43862088008314,531.6192550654199
02M011,P.S. 011 William T. Harris,2013,prophet_train,886.0044981699999,824.9921720060389,947.3959501496063
02M011,P.S. 011 William T. Harris,2014,prophet_train,876.909722098559,811.6143544886247,941.7385211453524
02M011,P.S. 011 William T. Harris,2015,prophet_train,867.8149460271179,802.9111610620878,934.6680322243454
02M011,P.S. 011 William T. Harris,2016,prophet_train,858.6952527609607,795.2223694673368,920.7891134259775
02M011,P.S. 011 William T. Harris,2017,prophet_train,849.6004766895196,792.2879423169611,909.6088175830881
02M011,P.S. 011 William T. Harris,2018,prophet_train,840.5057006180787,780.101246519452,904.0144318998881
02M011,P.S. 011 William T. Harris,2019,prophet_train,831.4109245466376,773.2044344432883,894.5750576117089
02M011,P.S. 011 William T. Harris,2020,prophet_train,822.2912312804804,759.3621790180636,883.6735806759667
02M011,P.S. 011 William T. Harris,2021,prophet_train,776.0542016269089,715.0022187479002,835.4925321762911
02M011,P.S. 011 William T. Harris,2022,prophet_train,729.8171719733375,664.2199902591656,788.0811940464267
02M011,P.S. 011 William T. Harris,2023,prophet_train,683.5801423197661,619.7000299980306,742.3567392211286
02M011,P.S. 011 William T. Harris,2024,prophet_train,637.2164358726233,568.3690996001764,699.8687776029965
02M011,P.S. 011 William T. Harris,2025,prophet_forecast,590.9794062190518,526.5003348067042,651.6687717858789
02M011,P.S. 011 William T. Harris,2026,prophet_forecast,544.7423765654803,484.56021814725244,616.2600394443426
02M011,P.S. 011 William T. Harris,2027,prophet_forecast,498.5053469119089,423.4777634350148,576.877042375814
02M033,P.S. 033 Chelsea Prep,2013,prophet_train,594.88704574,546.1440540998043,644.5027670350316
02M033,P.S. 033 Chelsea Prep,2014,prophet_train,589.1190701126231,544.5968173846711,638.7621406935799
02M033,P.S. 033 Chelsea Prep,2015,prophet_train,583.3510944852463,533.3090633346037,630.0146520240262
02M033,P.S. 033 Chelsea Prep,2016,prophet_train,577.5673161849179,526.4481514289147,624.0666613602136
02M033,P.S. 033 Chelsea Prep,2017,prophet_train,571.7993405575411,524.3429788202235,618.7520110142904
02M033,P.S. 033 Chelsea Prep,2018,prophet_train,566.0313649301643,520.0054929040678,613.4413183836314
02M033,P.S. 033 Chelsea Prep,2019,prophet_train,560.2633893027875,511.0377242530744,605.8976337781293
02M033,P.S. 033 Chelsea Prep,2020,prophet_train,554.4796110024589,507.73190904380584,599.7448468874833
02M033,P.S. 033 Chelsea Prep,2021,prophet_train,553.8293601322499,502.20587216076814,599.0611957385302
02M033,P.S. 033 Chelsea Prep,2022,prophet_train,553.1791092620408,506.244773620419,601.0943629862197
02M033,P.S. 033 Chelsea Prep,2023,prophet_train,552.5288583918318,507.64067408232665,599.2640539108063
02M033,P.S. 033 Chelsea Prep,2024,prophet_train,551.8768260123892,505.7642443183957,598.8786006096417
02M033,P.S. 033 Chelsea Prep,2025,prophet_forecast,551.2265751421802,503.9111535133073,599.5408260273102
02M033,P.S. 033 Chelsea Prep,2026,prophet_forecast,550.5763242719711,500.1529295903498,601.6278071801876
02M033,P.S. 033 Chelsea Prep,2027,prophet_forecast,549.9260734017621,500.46593247866645,596.8854440772919
02M040,P.S. 040 Augustus Saint-Gaudens,2013,prophet_train,602.01736562,572.0670679391511,632.8433584469143
02M040,P.S. 040 Augustus Saint-Gaudens,2014,prophet_train,607.9021675916924,578.1003367746283,638.3221715872893
02M040,P.S. 040 Augustus Saint-Gaudens,2015,prophet_train,613.7869695633848,583.7848073083735,643.3881871498218
02M040,P.S. 040 Augustus Saint-Gaudens,2016,prophet_train,619.687894280205,589.093073665284,649.2302258930674
02M040,P.S. 040 Augustus Saint-Gaudens,2017,prophet_train,625.5726962518975,595.7912803577728,655.8627359684731
02M040,P.S. 040 Augustus Saint-Gaudens,2018,prophet_train,631.4574982235898,601.9353077950958,660.8305384157114
02M040,P.S. 040 Augustus Saint-Gaudens,2019,prophet_train,637.3423001952822,606.236300422843,669.7367273358554
02M040,P.S. 040 Augustus Saint-Gaudens,2020,prophet_train,643.2432249121026,613.1509103948777,675.7993108533392
02M040,P.S. 040 Augustus Saint-Gaudens,2021,prophet_train,607.3520397981056,575.0384761553827,639.0692710041575
02M040,P.S. 040 Augustus Saint-Gaudens,2022,prophet_train,571.4608546841087,540.910970869154,602.4771281314712
02M040,P.S. 040 Augustus Saint-Gaudens,2023,prophet_train,535.5696695701115,504.06193080211034,565.4502231298866
02M040,P.S. 040 Augustus Saint-Gaudens,2024,prophet_train,499.5801524421036,468.3830673777258,531.6503079666417
02M040,P.S. 040 Augustus Saint-Gaudens,2025,prophet_forecast,463.6889673281066,435.64106107237933,496.5405211508818
02M040,P.S. 040 Augustus Saint-Gaudens,2026,prophet_forecast,427.79778221410953,397.3915343133533,462.78452143710047
02M040,P.S. 040 Augustus Saint-Gaudens,2027,prophet_forecast,391.90659710011255,356.44120970148833,433.7862815883851
02M041,P.S. 041 Greenwich Village,2013,prophet_train,772.3999322000001,726.5624271126816,814.4307033759615
02M041,P.S. 041 Greenwich Village,2014,prophet_train,736.3637712349429,690.5743649164152,781.4253660700376
02M041,P.S. 041 Greenwich Village,2015,prophet_train,700.3276102698856,657.1860382060247,743.3321968868984
02M041,P.S. 041 Greenwich Village,2016,prophet_train,664.1927200967049,618.5894562268468,709.8093302570777
02M041,P.S. 041 Greenwich Village,2017,prophet_train,628.1565591316477,584.7440413221334,672.7898803488478
