DBN,School Name,PreCOVID_Baseline,Current_Enrollment,Pct_vs_PreCOVID,PreCOVID_Slope,COVID_Shock,PostCOVID_Slope,Forecast_2027_28_Base,Forecast_2027_28_Pessimistic,Forecast_2027_28_Optimistic,Risk_Flag,N_PreCOVID_Years,N_PostCOVID_Years,Neighborhood,median_household_income,Exclusion_Reason
02M001,P.S. 001 Alfred E. Smith,333.4,160.0,-0.52,-35.86,13.2,-12.6,160.0,122.0,333.0,Red,7.0,5.0,Lower East Side,134583.0,
02M002,P.S. 002 Meyer London,592.3,317.0,-0.465,-62.39,33.1,-24.8,317.0,243.0,592.0,Red,7.0,5.0,Lower East Side,25655.0,
02M003,P.S. 003 Charrette School,715.0,483.0,-0.324,-19.21,-101.1,-17.2,483.0,431.0,715.0,Red,7.0,5.0,West Village,146964.0,
02M006,P.S. 006 Lillie D. Blake,657.4,539.0,-0.18,-31.39,-30.3,3.5,539.0,550.0,657.0,Yellow,7.0,5.0,Upper East Side,250001.0,
02M011,P.S. 011 William T. Harris,875.6,643.0,-0.266,9.79,-151.7,-28.4,643.0,558.0,876.0,Red,7.0,5.0,Chelsea,95355.0,
02M033,P.S. 033 Chelsea Prep,589.6,576.0,-0.023,4.43,-113.1,21.1,576.0,639.0,590.0,Green,7.0,5.0,Chelsea,67218.0,
02M040,P.S. 040 Augustus Saint-Gaudens,628.9,521.0,-0.172,15.71,-83.3,-24.9,521.0,446.0,629.0,Yellow,7.0,5.0,Gramercy,118201.0,
02M041,P.S. 041 Greenwich Village,677.9,409.0,-0.397,-22.39,-125.1,-17.2,409.0,357.0,678.0,Red,7.0,5.0,West Village,173615.0,
02M042,P.S. 042 Benjamin Altman,638.3,424.0,-0.336,-43.07,25.2,-20.7,424.0,362.0,638.0,Red,7.0,5.0,Lower East Side,46860.0,
02M051,P.S. 051 Elias Howe,353.3,393.0,0.112,23.04,-60.0,-0.2,393.0,392.0,353.0,Green,7.0,5.0,Chelsea / Hell's Kitchen,117622.0,
02M059,P.S. 059 Beekman Hill International,590.6,499.0,-0.155,1.71,-45.4,-16.7,499.0,449.0,591.0,Yellow,7.0,5.0,Midtown East,160111.0,
02M077,P.S. 77 Lower Lab School,354.6,363.0,0.024,2.68,-14.3,4.6,363.0,377.0,355.0,Green,7.0,5.0,Upper East Side,159712.0,
02M089,P.S. 89,406.1,306.0,-0.247,-0.57,-91.7,-2.6,306.0,298.0,406.0,Yellow,7.0,5.0,Battery Park City,250001.0,
02M111,P.S. 111 Adolph S. Ochs,329.1,350.0,0.063,15.0,-51.1,1.3,350.0,354.0,329.0,Green,7.0,5.0,Upper East Side,111223.0,
02M116,P.S. 116 Mary Lindley Murray,554.9,351.0,-0.367,-47.04,-22.3,-4.7,351.0,337.0,555.0,Red,7.0,5.0,Murray Hill,143183.0,
02M124,P.S. 124 Yung Wing,710.0,429.0,-0.396,-38.57,20.7,-38.9,429.0,312.0,710.0,Red,7.0,5.0,Chinatown,46860.0,
02M130,P.S. 130 Hernando De Soto,898.4,512.0,-0.43,-36.46,-65.2,-45.9,512.0,374.0,898.0,Red,7.0,5.0,Tribeca,100096.0,
02M150,P.S. 150,168.3,255.0,0.515,1.11,-38.3,25.5,255.0,332.0,168.0,Green,7.0,5.0,Tribeca,190588.0,
02M151,Yorkville Community School,491.7,277.0,-0.437,-34.8,-4.7,-24.7,277.0,203.0,492.0,Red,6.0,5.0,Yorkville,141232.0,
02M158,P.S. 158 Bayard Taylor,711.6,557.0,-0.217,6.14,-133.9,-12.0,557.0,521.0,712.0,Yellow,7.0,5.0,Upper East Side,80132.0,
02M183,P.S. 183 Robert L. Stevenson,561.1,504.0,-0.102,-10.54,-32.6,1.6,504.0,509.0,561.0,Yellow,7.0,5.0,Upper East Side,90938.0,
02M198,P.S. 198 Isador E. Ida Straus,435.1,474.0,0.089,-4.64,-30.2,20.0,474.0,534.0,435.0,Green,7.0,5.0,Upper East Side,159712.0,
02M212,P.S. 212 Midtown West,336.9,275.0,-0.184,-2.54,-55.3,-1.9,275.0,269.0,337.0,Yellow,7.0,5.0,Hell's Kitchen,145488.0,
02M217,P.S./I.S. 217 Roosevelt Island,480.3,542.0,0.128,16.5,-22.9,7.5,542.0,565.0,480.0,Green,7.0,5.0,Roosevelt Island,180677.0,
02M225,Ella Baker School,210.4,213.0,0.012,6.0,-3.4,-18.0,213.0,105.0,208.0,Green,7.0,2.0,Lower East Side,159134.0,
02M234,P.S. 234 Independence School,688.4,462.0,-0.329,-24.46,-127.0,2.7,462.0,470.0,688.0,Red,7.0,5.0,Tribeca,190588.0,
02M267,"East Side Elementary School, PS 267",395.6,353.0,-0.108,21.5,-65.3,-11.3,353.0,319.0,396.0,Yellow,5.0,5.0,Upper East Side,163371.0,
02M290,P.S. 290 Manhattan New School,601.1,354.0,-0.411,-24.29,-114.4,-11.0,354.0,321.0,601.0,Red,7.0,5.0,Upper East Side,134167.0,
02M343,The Peck Slip School,420.3,266.0,-0.367,8.5,-78.1,-21.3,266.0,202.0,420.0,Red,3.0,5.0,Seaport,119293.0,
02M527,P.S. 527 - East Side School for Social Action,432.7,379.0,-0.124,46.5,-70.9,-20.7,379.0,317.0,433.0,Yellow,3.0,5.0,Upper East Side,138413.0,
02M281,The River School,,,,,,,,,,Excluded,,,Battery Park City,,phase-in school reached maturity too recently
02M340,Sixth Avenue Elementary School,,,,,,,,,,Excluded,,,Midtown South,,phase-in school reached maturity too recently
