DBN,year_start,school_year,scenario,model,Forecast,Actual,Error,Abs_Error,Pct_Error
02M001,2022,2022-23,Pessimistic,Piecewise Linear,172.99999999999997,159.0,13.999999999999972,13.999999999999972,0.0880503144654086
02M001,2023,2023-24,Pessimistic,Piecewise Linear,153.99999999999994,168.0,-14.000000000000057,14.000000000000057,-0.0833333333333336
02M001,2024,2024-25,Pessimistic,Piecewise Linear,134.9999999999999,160.0,-25.000000000000117,25.000000000000117,-0.1562500000000007
02M001,2022,2022-23,Base,Piecewise Linear,192.0,159.0,33.0,33.0,0.2075471698113207
02M001,2023,2023-24,Base,Piecewise Linear,192.0,168.0,24.0,24.0,0.1428571428571428
02M001,2024,2024-25,Base,Piecewise Linear,192.0,160.0,32.0,32.0,0.2
02M001,2022,2022-23,Optimistic,Piecewise Linear,239.14285714285717,159.0,80.14285714285714,80.14285714285714,0.5040431266846361
02M001,2023,2023-24,Optimistic,Piecewise Linear,286.2857142857143,168.0,118.28571428571428,118.28571428571428,0.7040816326530612
02M001,2024,2024-25,Optimistic,Piecewise Linear,333.42857142857144,160.0,173.42857142857144,173.42857142857144,1.0839285714285716
02M001,2022,2022-23,Base,Prophet,180.7272929736243,159.0,21.727292973624287,21.727292973624287,0.1366496413435489
02M001,2023,2023-24,Base,Prophet,171.2750515041171,168.0,3.2750515041171013,3.2750515041171013,0.0194943541911732
02M001,2024,2024-25,Base,Prophet,161.79691348263864,160.0,1.7969134826386437,1.7969134826386437,0.0112307092664915
02M002,2022,2022-23,Pessimistic,Piecewise Linear,289.0,319.0,-30.0,30.0,-0.0940438871473354
02M002,2023,2023-24,Pessimistic,Piecewise Linear,235.0,255.0,-20.00000000000003,20.00000000000003,-0.0784313725490197
02M002,2024,2024-25,Pessimistic,Piecewise Linear,180.99999999999997,317.0,-136.00000000000006,136.00000000000006,-0.4290220820189276
02M002,2022,2022-23,Base,Piecewise Linear,343.0,319.0,24.0,24.0,0.0752351097178683
02M002,2023,2023-24,Base,Piecewise Linear,343.0,255.0,88.0,88.0,0.3450980392156862
02M002,2024,2024-25,Base,Piecewise Linear,343.0,317.0,26.0,26.0,0.0820189274447949
02M002,2022,2022-23,Optimistic,Piecewise Linear,426.0952380952381,319.0,107.09523809523812,107.09523809523812,0.335721749514853
02M002,2023,2023-24,Optimistic,Piecewise Linear,509.19047619047626,255.0,254.19047619047623,254.19047619047623,0.9968253968253972
02M002,2024,2024-25,Optimistic,Piecewise Linear,592.2857142857143,317.0,275.28571428571433,275.28571428571433,0.8684091933303292
02M002,2022,2022-23,Base,Prophet,304.4885869929603,319.0,-14.51141300703972,14.51141300703972,-0.0454903229060806
