DBN,year_start,school_year,scenario,model,Enrollment,Enrollment_Lower,Enrollment_Upper,is_forecast
02M001,2013,2013-14,Actual,Piecewise Linear,443.0,443.0,443.0,False
02M001,2014,2014-15,Actual,Piecewise Linear,408.0,408.0,408.0,False
02M001,2015,2015-16,Actual,Piecewise Linear,372.0,372.0,372.0,False
02M001,2016,2016-17,Actual,Piecewise Linear,322.0,322.0,322.0,False
02M001,2017,2017-18,Actual,Piecewise Linear,294.0,294.0,294.0,False
02M001,2018,2018-19,Actual,Piecewise Linear,266.0,266.0,266.0,False
02M001,2019,2019-20,Actual,Piecewise Linear,229.0,229.0,229.0,False
02M001,2020,2020-21,Actual,Piecewise Linear,211.0,211.0,211.0,False
02M001,2021,2021-22,Actual,Piecewise Linear,192.0,192.0,192.0,False
02M001,2022,2022-23,Actual,Piecewise Linear,159.0,159.0,159.0,False
02M001,2023,2023-24,Actual,Piecewise Linear,168.0,168.0,168.0,False
02M001,2024,2024-25,Actual,Piecewise Linear,160.0,160.0,160.0,False
02M001,2025,2025-26,Pessimistic,Piecewise Linear,147.4,124.41766739618927,170.3823326038107,True
02M001,2026,2026-27,Pessimistic,Piecewise Linear,134.8,106.65250601086714,162.94749398913288,True
02M001,2027,2027-28,Pessimistic,Piecewise Linear,122.20000000000002,89.69807353672154,154.70192646327848,True
02M001,2025,2025-26,Base,Piecewise Linear,160.0,137.0176673961893,182.9823326038107,True
02M001,2026,2026-27,Base,Piecewise Linear,160.0,131.85250601086713,188.14749398913287,True
02M001,2027,2027-28,Base,Piecewise Linear,160.0,127.49807353672152,192.5019264632785,True
02M001,2025,2025-26,Optimistic,Piecewise Linear,217.80952380952385,194.82719120571312,240.79185641333453,True
02M001,2026,2026-27,Optimistic,Piecewise Linear,275.61904761904765,247.4715536299148,303.76654160818055,True
02M001,2027,2027-28,Optimistic,Piecewise Linear,333.42857142857144,300.9266449652929,365.93049789184994,True
02M002,2013,2013-14,Actual,Piecewise Linear,787.0,787.0,787.0,False
02M002,2014,2014-15,Actual,Piecewise Linear,727.0,727.0,727.0,False
02M002,2015,2015-16,Actual,Piecewise Linear,651.0,651.0,651.0,False
02M002,2016,2016-17,Actual,Piecewise Linear,567.0,567.0,567.0,False
02M002,2017,2017-18,Actual,Piecewise Linear,530.0,530.0,530.0,False
02M002,2018,2018-19,Actual,Piecewise Linear,463.0,463.0,463.0,False
02M002,2019,2019-20,Actual,Piecewise Linear,421.0,421.0,421.0,False
02M002,2020,2020-21,Actual,Piecewise Linear,397.0,397.0,397.0,False
02M002,2021,2021-22,Actual,Piecewise Linear,343.0,343.0,343.0,False
02M002,2022,2022-23,Actual,Piecewise Linear,319.0,319.0,319.0,False
02M002,2023,2023-24,Actual,Piecewise Linear,255.0,255.0,255.0,False
02M002,2024,2024-25,Actual,Piecewise Linear,317.0,317.0,317.0,False
02M002,2025,2025-26,Pessimistic,Piecewise Linear,292.2,223.18316313793295,361.216836862067,True
02M002,2026,2026-27,Pessimistic,Piecewise Linear,267.40000000000003,182.8719830135135,351.92801698648657,True
02M002,2027,2027-28,Pessimistic,Piecewise Linear,242.6,144.99545327757352,340.2045467224265,True
02M002,2025,2025-26,Base,Piecewise Linear,317.0,247.983163137933,386.016836862067,True
02M002,2026,2026-27,Base,Piecewise Linear,317.0,232.4719830135135,401.5280169864865,True
02M002,2027,2027-28,Base,Piecewise Linear,317.0,219.3954532775735,414.6045467224265,True
02M002,2025,2025-26,Optimistic,Piecewise Linear,408.7619047619048,339.7450678998377,477.77874162397177,True
02M002,2026,2026-27,Optimistic,Piecewise Linear,500.5238095238095,415.995792537323,585.051826510296,True
