DBN,location_name,primary_address_line_1,LATITUDE,LONGITUDE,Census_tract,NTA_Name,tract_fips,state_fips,county_fips,tract_fips_2020
02M001,P.S. 001 Alfred E. Smith,8 HENRY STREET,40.71255,-73.997478,2700.0,Chinatown,002700,36,61,002700
02M002,P.S. 002 Meyer London,122 HENRY STREET,40.712907,-73.991523,600.0,Lower East Side,000600,36,61,000600
02M003,P.S. 003 Charrette School,490 HUDSON STREET,40.732603,-74.005949,7300.0,West Village,007300,36,61,007300
02M006,P.S. 006 Lillie D. Blake,45 EAST  81 STREET,40.777737,-73.960427,14200.0,Upper East Side-Carnegie Hill,014200,36,61,014200
02M011,P.S. 011 William T. Harris,320 WEST  21 STREET,40.744186,-74.000743,8900.0,Hudson Yards-Chelsea-Flatiron-Union Square,008900,36,61,008900
02M033,P.S. 033 Chelsea Prep,281 9 AVENUE,40.749014,-74.000238,9700.0,Hudson Yards-Chelsea-Flatiron-Union Square,009700,36,61,009700
02M040,P.S. 040 Augustus Saint-Gaudens,320 EAST 20TH STREET,40.735328,-73.981536,6400.0,Gramercy,006400,36,61,006400
02M041,P.S. 041 Greenwich Village,116 WEST  11 STREET,40.73545,-73.999094,7100.0,West Village,007100,36,61,007100
02M042,P.S. 042 Benjamin Altman,71 HESTER STREET,40.716126,-73.990826,1600.0,Chinatown,001600,36,61,001600
02M051,P.S. 051 Elias Howe,525 WEST 44TH STREET,40.761487,-73.995825,12900.0,Clinton,012900,36,61,012901
02M059,P.S. 059 Beekman Hill International,231-249 EAST 56 STREET,40.759248,-73.967204,10800.0,Turtle Bay-East Midtown,010800,36,61,010803
02M077,P.S. 77 Lower Lab School,1700 3 AVENUE,40.785018,-73.95042,15801.0,Upper East Side-Carnegie Hill,015801,36,61,015801
02M089,P.S. 89,201 WARREN STREET,40.71701,-74.013967,31703.0,Battery Park City-Lower Manhattan,031703,36,61,031703
02M111,P.S. 111 Adolph S. Ochs,440 WEST  53 STREET,40.76588,-73.989776,13300.0,Clinton,013300,36,61,013300
02M116,P.S. 116 Mary Lindley Murray,210 EAST  33 STREET,40.744511,-73.977906,7000.0,Murray Hill-Kips Bay,007000,36,61,007002
02M124,P.S. 124 Yung Wing,40 DIVISION STREET,40.715097,-73.996017,1600.0,Chinatown,001600,36,61,001600
02M130,P.S. 130 Hernando De Soto,143 BAXTER STREET,40.71866,-73.998326,4100.0,SoHo-TriBeCa-Civic Center-Little Italy,004100,36,61,004100
02M150,P.S. 150,334 GREENWICH STREET,40.71953,-74.01088,3900.0,SoHo-TriBeCa-Civic Center-Little Italy,003900,36,61,003900
02M151,Yorkville Community School,421 EAST  88 STREET,40.777948,-73.947287,14402.0,Yorkville,014402,36,61,014402
02M158,P.S. 158 Bayard Taylor,1458 YORK AVENUE,40.770215,-73.950745,13200.0,Lenox Hill-Roosevelt Island,013200,36,61,013202
02M183,P.S. 183 Robert L. Stevenson,419 EAST  66 STREET,40.763804,-73.957731,11600.0,Lenox Hill-Roosevelt Island,011600,36,61,011600
02M198,P.S. 198 Isador E. Ida Straus,1700 3 AVENUE,40.785018,-73.95042,15801.0,Upper East Side-Carnegie Hill,015801,36,61,015801
02M212,P.S. 212 Midtown West,328 WEST  48 STREET,40.761327,-73.988665,12700.0,Clinton,012700,36,61,012700
02M217,P.S./I.S. 217 Roosevelt Island,645 MAIN STREET,40.753598,-73.956435,23801.0,Lenox Hill-Roosevelt Island,023801,36,61,023804
02M225,Ella Baker School,317 EAST  67 STREET,40.765638,-73.959777,11800.0,Lenox Hill-Roosevelt Island,011800,36,61,011800
02M234,P.S. 234 Independence School,292 GREENWICH STREET,40.71953,-74.01088,3900.0,SoHo-TriBeCa-Civic Center-Little Italy,003900,36,61,003900
02M267,"East Side Elementary School, PS 267",213 EAST 63RD STREET,40.763883,-73.963861,11000.0,Lenox Hill-Roosevelt Island,011000,36,61,011000
02M281,The River School,425 EAST 35TH STREET,40.744288,-73.972592,8601.0,Turtle Bay-East Midtown,008601,36,61,008601
02M290,P.S. 290 Manhattan New School,311 EAST  82 STREET,40.775181,-73.952777,13800.0,Yorkville,013800,36,61,013800
02M340,Sixth Avenue Elementary School,590 SIXTH AVENUE,40.739145,-73.995534,5400.0,Hudson Yards-Chelsea-Flatiron-Union Square,005400,36,61,005400
02M343,The Peck Slip School,1 PECK SLIP,40.708774,-74.002407,1501.0,Battery Park City-Lower Manhattan,001501,36,61,001501
02M527,P.S. 527 - East Side School for Social Action,323 EAST 91 STREET,40.780652,-73.947856,15400.0,Yorkville,015400,36,61,015402
